customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1002154,357225,Sun Oct 22 14:06:08 +0000 2017,@Postmates_Help what’s the difference between your service fee and a delivery fee?,1002153,Postmates_Help,Sun Oct 22 14:12:50 +0000 2017,@357225 The service fee is for our internal costs while the delivery fee compensates our Postmates.,
1002156,357226,Sun Oct 22 14:00:29 +0000 2017,Hey @116057. How long past your initial ETA do you expect your customers to wait?? Apparently 75 min still reasonable to you.,1002155,Postmates_Help,Sun Oct 22 14:11:03 +0000 2017,@357226 Feel free to DM us your account email if you's like us to look into this.,
1006199,358145,Sat Oct 14 12:50:20 +0000 2017,Tried to use @116057 last night for the first time then got a mysterious hold on my account on my first order 🙃um helllo @Postmates_Help,1006198,Postmates_Help,Sat Oct 14 12:51:08 +0000 2017,@358145 Hey! DM us your email address if you would like for us to look into this! https://t.co/fNvbyaQlyo,
1006938,212895,Sun Oct 22 19:41:04 +0000 2017,@Postmates_Help Est delivery time was 25-40 minutes. Now the person I was communicating with helping select my groceries has been changed??,1006937,Postmates_Help,Sun Oct 22 19:43:53 +0000 2017,@212895 Feel free to DM us your account email if you'd like us to look into this.,
1006940,358277,Sun Oct 22 19:32:40 +0000 2017,@Postmates_Help Why am I still being charged $120.00 for a$20 order?!?! Why hasn’t this been fixed ?!,1006939,Postmates_Help,Sun Oct 22 19:38:15 +0000 2017,@358277 We're so sorry for the troubles! Please feel free to DM us your account email so we can look into this.,
1006942,358278,Sun Oct 22 19:19:01 +0000 2017,"nothing worse than placing your delivery order only to have the wrong items arrive. lowkey annoyed, @Postmates_Help.",1006941,Postmates_Help,Sun Oct 22 19:21:26 +0000 2017,@358278 We're so sorry to hear about that! Please DM us your account email so we can look into this.,
1006944,358279,Sun Oct 22 18:45:34 +0000 2017,So over @116057.  Service &amp; customer support has really gone downhill.,1006943,Postmates_Help,Sun Oct 22 18:47:48 +0000 2017,@358279 We would be happy to look into this! Feel free to DM us.,
1009917,358963,Sun Oct 22 20:03:59 +0000 2017,@Postmates_Help Too bad. Shame there is no logical way to reach drivers support. How about letting me know what acct on here we can talk w driver support?,1009915,Postmates_Help,Sun Oct 22 20:07:20 +0000 2017,@358963 Fleet Support can only be reached via email at this time.,1009916
1009920,358963,Sun Oct 22 19:51:58 +0000 2017,@Postmates_Help please help the vegas market fleet w support. no responses to emails.,1009919,Postmates_Help,Sun Oct 22 19:55:17 +0000 2017,"@358963 We’re sorry, but we don’t have access to Fleet info on this channel. Fleet Support is responding to everyone's emails as soon as possible.",1009917
1009922,358964,Sun Oct 22 19:52:04 +0000 2017,@Postmates_Help What should I do when I have to deliver on a area where there is No Network Signal? How do I Confirm Delivery,1009921,Postmates_Help,Sun Oct 22 19:56:04 +0000 2017,@358964 Hello! This would be a great question for our Fleet Support team. You can reach them here: https://t.co/m4t86tbjKC,
