customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1003578,357538,Sat Oct 14 00:57:49 +0000 2017,@BofA_Help I’ve been trying to get an online retailer to issue me a refund on a cancelled order..it’s been a week since their last response.,1003577,BofA_Help,Sat Oct 14 12:57:02 +0000 2017,@357538 I’d be happy to call you. Please click below to send your name/ZIP/phone privately. ^th,
1004883,357840,Sat Oct 14 09:52:25 +0000 2017,@BofA_Help I have a urgent problem concerning TT transfers. The problem existed for more than a year. Please DM me. Thank you.,1004882,BofA_Help,Sat Oct 14 13:02:37 +0000 2017,@357840 I’d be happy to call you. Please click below to send your name/ZIP/phone privately. ^th https://t.co/CoOXedUuUC,
1006168,358140,Sat Oct 14 02:08:40 +0000 2017,I'm looking into changing banks since @116035 is useless! their customers wait over an hour to talk to someone! Recommendations!?,1006167,BofA_Help,Sat Oct 14 13:19:21 +0000 2017,"@358140 Hi Katie. I’m sorry for the wait. If you still need help, click below to send your name/ZIP/phone. ^mp https://t.co/CoOXedUuUC",
1006168,358140,Sat Oct 14 02:08:40 +0000 2017,I'm looking into changing banks since @116035 is useless! their customers wait over an hour to talk to someone! Recommendations!?,1006169,BofA_Help,Sat Oct 14 13:18:14 +0000 2017,"@358140 Hi Katie. I’m sorry for the wait. If you still need help, use the link below to send your name/ZIP/phone. ^mp",
1006879,358262,Sat Oct 14 15:18:35 +0000 2017,@BofA_Help sent a DM. Please reply as soon as you can.,1006878,BofA_Help,Sat Oct 14 15:28:01 +0000 2017,@358262 Hi Donnie. Visit https://t.co/buieW1ZdcC for info on how to send money using Zelle transfers. ^ig,
1006882,358263,Sat Oct 14 13:09:39 +0000 2017,"Already a slight inconvenience to not have direct deposit, but to have a hold placed on your check EVERY TIME u deposit it 😡 #bankofamerica",1006880,BofA_Help,Sat Oct 14 15:17:32 +0000 2017,@358263 Please let us know if you'd like us to connect with you. Thank You! ^az,1006881
1006882,358263,Sat Oct 14 13:09:39 +0000 2017,"Already a slight inconvenience to not have direct deposit, but to have a hold placed on your check EVERY TIME u deposit it 😡 #bankofamerica",1006884,BofA_Help,Sat Oct 14 15:16:36 +0000 2017,@358263 Hi Brittany. We can look at your specific situation with you. ^az,
1006882,358263,Sat Oct 14 13:09:39 +0000 2017,"Already a slight inconvenience to not have direct deposit, but to have a hold placed on your check EVERY TIME u deposit it 😡 #bankofamerica",1006883,BofA_Help,Sat Oct 14 15:16:52 +0000 2017,"@358263 It depends on various factors including the type of check deposited, the source and the amount. ^az",1006951
1006951,358263,Sat Oct 14 15:51:50 +0000 2017,@BofA_Help It’s a payroll check that I deposit twice a month and around the same amount.,1006952,BofA_Help,Sat Oct 14 16:25:46 +0000 2017,@358263 Please allow us time to review your account and a specialist will connect with you. Thank you! ^az,1006953
1008696,358691,Sat Oct 14 04:14:41 +0000 2017,"@BofA_Help BOA emailed to call in regarding sketchy account activity. 1 hr 07 min later, i'm still on hold. Clearly fraud is not that impt",1008695,BofA_Help,Sat Oct 14 13:52:07 +0000 2017,"@358691 Hi Helen. I’m sorry for the wait. If you still need help, click below to send your name/ZIP/phone. ^mp https://t.co/CoOXedUuUC",
1008698,358692,Sat Oct 14 04:26:27 +0000 2017,@BofA_Help Rots a ruck getting hold of anyone. Kept me hanging on the phone for 45 minutes. I finally hung up. I tried a few times more times. Nope.,1008697,BofA_Help,Sat Oct 14 13:51:01 +0000 2017,@358692 Hi Carol. I apologize for the inconvenience. Please let me know if you were able to speak with an employee? ^ig,
1010206,359038,Sat Oct 14 06:11:56 +0000 2017,"@BofA_Help - plz don't send me credit card to my Texas,Richardson,address. I am not staying in that address. If you dispatch, return it back",1010205,BofA_Help,Sat Oct 14 14:12:59 +0000 2017,"@359038 Hello. Please click below to send your name/ZIP/phone, so we can research and follow up with you. ^mp https://t.co/CoOXedUuUC",
1010231,359042,Sat Oct 14 12:54:03 +0000 2017,@BofA_Help who can I call for fraudulent debit card transactions,1010230,BofA_Help,Sat Oct 14 14:03:48 +0000 2017,@359042 To file a claim for a debit card please call 1.877.366.1121. ^ig,
1010233,359043,Sat Oct 14 10:15:39 +0000 2017,@BofA_Help is like to close my account and open a #PinkBanking Susan G. Komen account. How do I go about that this morning?,1010232,BofA_Help,Sat Oct 14 14:03:30 +0000 2017,@359043 Hello. Please call 800.421.2110 - credit card or 800.432.1000 - debit card to see if eligible for a product change. ^mp,
1011560,278065,Mon Oct 23 20:05:05 +0000 2017,@BofA_Help No. I've not been helped. I've had terrible #CustomerExperience  regarding check fraud. What's going on??,1011562,BofA_Help,Mon Oct 23 20:19:23 +0000 2017,"@278065 We're sorry for your experience. Please click below, send us your name/zip/phone number. ^jl https://t.co/CoOXedUuUC",
1011561,278065,Sat Oct 14 02:23:26 +0000 2017,@BofA_Help Can u help? I have  fraud issues and nobody on phone,1011559,BofA_Help,Sat Oct 14 14:15:54 +0000 2017,@278065 Hi David. I’m sorry we weren’t here when you sent this. Were you able to speak with an employee? ^ig,1011560
1012672,359622,Sat Oct 14 14:36:51 +0000 2017,@BofA_Help You can tell your Tampa financing office to hurry up with my home loan paperwork,1012671,BofA_Help,Sat Oct 14 14:43:33 +0000 2017,@359622 I apologize for the experience. Please use the link below to send your name/property address/phone. ^ig https://t.co/CoOXedUuUC,
1012674,359622,Sat Oct 14 12:33:18 +0000 2017,@BofA_Help hey y'all can you tell your financing department to hurry up lmao,1012673,BofA_Help,Sat Oct 14 14:26:50 +0000 2017,@359622 We’re here to help; let me know what I can do. ^ig,1012672
1014277,359999,Thu Oct 12 07:09:08 +0000 2017,@116035 Like why wouldn’t it be meeeeeee dude,1014276,BofA_Help,Thu Oct 12 13:04:19 +0000 2017,"@359999 Hello, we're here to help. Please let us know what we can do. Thank you. ^mm https://t.co/CoOXedUuUC",
1016102,189172,Thu Oct 12 10:27:46 +0000 2017,@12221 @BofA_Help release my damn funds! Processing since Friday! I cancelled and @12221 is reimbursing. #releasemymoney,1016101,BofA_Help,Thu Oct 12 13:52:32 +0000 2017,"@189172 Hi Lisa, Merchant holds typically take 3-5 business days to process. If you want us to call you, let us know. ^ap",
